session_num,participant,timestamp,engagement,of_AU01_c,of_AU02_c,of_AU04_c,of_AU05_c,of_AU06_c,of_AU07_c,of_AU09_c,of_AU10_c,of_AU12_c,of_AU14_c,of_AU15_c,of_AU17_c,of_AU20_c,of_AU23_c,of_AU25_c,of_AU26_c,of_AU28_c,of_AU45_c,of_gaze_0_x,of_gaze_0_y,of_gaze_0_z,of_gaze_1_x,of_gaze_1_y,of_gaze_1_z,of_gaze_angle_x,of_gaze_angle_y,of_pose_Tx,of_pose_Ty,of_pose_Tz,of_pose_Rx,of_pose_Ry,of_pose_Rz
0,1,0,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    1.0000,    0.0000,    1.0000,    1.0000,    0.0000,    1.0000,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,  -45.7203,  -12.8335,  766.0920,    8.3612,  -13.7486,  763.9572,    0.0935,    0.3683,  -23.5180,   18.0278,  929.2048,   -0.6836,    1.4915,    1.3422
0,1,0,    1.0000,    0.0000,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,    1.0000,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,  -45.5480,  -53.0718,  645.6552,    4.9980,  -54.1067,  634.8468,    0.0405,    0.2675,  -24.1566,  -26.7967,  829.3969,    0.3736,    1.5322,    2.2810
0,1,0,    1.0000,    1.0000,    1.0000,    0.0000,    1.0000,    0.0000,    1.0000,    0.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    0.0000,    1.0000,    1.0000,    0.0000,    0.0000,    0.0000,  -41.3087,  -62.8505,  685.3179,    9.5178,  -64.4001,  682.8932,    0.0728,    0.2213,  -18.5854,  -38.6424,  856.7547,    0.0792,    1.4973,    1.8657
0,1,0,    1.0000,    1.0000,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    1.0000,    1.0000,    0.0000,    1.0000,    1.0000,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,  -40.8333,  -63.9893,  667.9892,   10.1251,  -66.0307,  668.6332,    0.0751,    0.2390,  -17.9890,  -39.5048,  844.8546,   -0.0129,    1.4927,    1.8273
0,1,0,    1.0000,    0.0000,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    1.0000,    0.0000,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,  -37.3486,  -68.5973,  683.1051,   14.6574,  -70.5314,  689.9137,    0.0797,    0.2279,  -13.4613,  -45.1065,  851.1569,   -0.1700,    1.4881,    1.6201
0,1,0,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    1.0000,    0.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,  -39.1833,  -70.6538,  693.6505,   13.0509,  -71.5362,  685.4956,    0.0808,    0.2472,  -14.7463,  -47.8222,  849.3669,   -0.1174,    1.4889,    1.7097
0,1,0,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    1.0000,    0.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,  -41.0606,  -71.4115,  707.5753,   11.9950,  -72.7728,  697.3332,    0.0796,    0.2721,  -15.7567,  -48.2976,  854.2018,    0.0392,    1.4920,    1.9018
0,1,0,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    1.0000,    0.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,  -42.7262,  -70.3816,  716.3086,   11.0329,  -71.7810,  703.7789,    0.0754,    0.3133,  -16.3175,  -43.7890,  836.2908,    0.1729,    1.5003,    2.0978
0,1,0,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    1.0000,    0.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,  -43.3413,  -71.8964,  711.5759,    9.8996,  -73.1653,  697.9664,    0.0697,    0.3019,  -17.3403,  -45.7241,  836.1662,    0.3257,    1.5054,    2.2365
0,1,0,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    1.0000,    0.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    0.0000,    1.0000,    1.0000,    0.0000,    0.0000,  -42.3298,  -71.1571,  718.0628,   11.5954,  -72.1726,  703.9179,    0.0690,    0.3181,  -15.7098,  -45.4516,  839.1575,    0.2800,    1.5076,    2.1932
0,1,0,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,  -37.8455,  -71.8704,  719.1052,   15.6064,  -72.8525,  707.7309,    0.0751,    0.3139,  -11.3324,  -45.6096,  841.2747,   -0.0044,    1.5001,    1.9179
0,1,0,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    1.0000,    0.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,  -36.9172,  -70.1725,  714.5750,   15.7780,  -70.8868,  700.3462,    0.0738,    0.3187,  -10.8593,  -44.1724,  838.5801,   -0.0102,    1.5045,    1.9217
0,1,0,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    1.0000,    0.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,  -38.8331,  -71.9421,  704.0695,   14.1728,  -72.9895,  695.7260,    0.0811,    0.2771,  -13.3570,  -48.2829,  846.7091,   -0.0218,    1.4932,    1.8457
0,1,0,    1.0000,    1.0000,    1.0000,    0.0000,    1.0000,    1.0000,    0.0000,    0.0000,    1.0000,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,  -15.8373,  -50.4985,  853.9241,   -0.3828,    1.3488,    1.5266
0,1,0,    1.0000,    1.0000,    1.0000,    0.0000,    1.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,  -15.0393,  -53.2696,  814.0118,   -0.6271,    1.0315,    1.3706
0,1,0,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    1.0000,    0.0000,    1.0000,    0.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,  -16.3117,  -59.4163,  871.6567,   -0.1887,    0.9363,    1.6080
