participant,engagement,of_AU01_c,of_AU02_c,of_AU04_c,of_AU05_c,of_AU06_c,of_AU07_c,of_AU09_c,of_AU10_c,of_AU12_c,of_AU14_c,of_AU15_c,of_AU17_c,of_AU20_c,of_AU23_c,of_AU25_c,of_AU26_c,of_AU28_c,of_AU45_c,of_gaze_0_x,of_gaze_0_y,of_gaze_0_z,of_gaze_1_x,of_gaze_1_y,of_gaze_1_z,of_gaze_angle_x,of_gaze_angle_y,of_pose_Tx,of_pose_Ty,of_pose_Tz,of_pose_Rx,of_pose_Ry,of_pose_Rz,timestamp,session_num
4,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-22.0993,-50.0624,1024.6576,29.5579,-50.4189,1008.6847,0.0175,0.1636,5.5907,-21.3514,1239304,1.3299,1.5544,3084,0,0
4,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-21.9559,-50.1057,1025.6019,29.7659,-50.4916,1010.2609,18,0.1645,5.7939,-21.3528,1239.1382,1.3036,1554,3.0582,0,0
4,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-21.9517,-49981,1024.3861,29734,-50.3381,1008.5734,0.0181,0.1664,5.7773,-21.2589,1237.8671,1.3256,1.5538,3.0827,0,0
4,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-21.7467,-49.8854,1023.5485,29.9255,-50.2745,1008.5626,0.0195,0.1662,6003,-21.1838,1238.0343,1.1918,1554,2.9485,0,0
4,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-20.7699,-49.7244,1022.0856,30.8455,-49.9074,1007.6642,0.0211,0.1664,6.9846,-20.9347,1238.0267,0.8857,1.5574,2.6429,0,0
4,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-20.6154,-49.9877,1023.5629,30.9971,-50.2155,1009.1206,0.0207,0.1699,7.1568,-21.2057,1238.7122,0.8566,1.5578,2.6186,0,0
4,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-20093,-49.9947,1021.8895,31.4972,-50.1335,1008.1874,0.0237,0.1652,7.6502,-21.1716,1238.3125,0.4065,1.5572,2.1632,0,0
4,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-21.4005,-49.9203,1021.3606,30.2051,-50.1478,1006.8388,0.0221,0.1641,6.2095,-21.2388,1238.0023,0.8685,1.5566,2.6229,0,0
4,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-21.3479,-49.7564,1023.2455,30.2577,-49.9987,1008.5594,0.0199,0.1691,6.3174,-20.9736,1237.9418,1.0955,1.5568,2856,0,0
4,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-21.1669,-49144,1021.4327,30.3967,-49.39,1007.1731,0.0221,0.1704,6.4975,-20.2549,1237.1595,0.8306,1.5563,2593,0,0
4,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-21.2425,-48792,1021.4818,30.3951,-49.1598,1007.7897,0.0226,0.1718,6.4679,-19.7705,1236.0071,0.8185,1.5552,2.5836,0,0
4,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-21.2758,-48.4993,1019686,30.3326,-48.8623,1005.6417,0.0229,0.1725,6.4541,-19.5844,1235.9343,0.79,1.5545,2.5567,0,0
4,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-21.0355,-48.6998,1020.5468,30.5235,-48.9895,1006.0383,0.0216,0.1732,6.6584,-19738,1236.6898,0.8267,1.5565,2.5945,0,0
4,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-21.2242,-48.5803,1021871,30.3742,-48.8927,1007259,0.0207,0.1718,6.4513,-19.5589,1237.5345,0.9525,1.5569,2.7185,0,0
4,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-21.2509,-48.3203,1019.5664,30.3106,-48.6294,1004913,0.0209,0.1713,6.4515,-19.3101,1235.5723,1004,1.5559,2.7691,0,0
4,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-21.4864,-48.6391,1021.6859,30.1365,-48.9496,1006969,0.0191,0.1711,6.1782,-19.5931,1236896,1159,1.5568,2.9239,0,0
4,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,-21.3596,-48.4815,1020.6913,30.2691,-48.8337,1006.0172,0.0213,0.1702,6.3341,-19.4669,1236.0641,0.9426,1.5559,2.7058,0,0
4,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-21.2969,-48.6394,1021.1659,30305,-48.9412,1007.0118,0.0206,172,6.3806,-19.6415,1236.9065,0.9305,1557,2696,0,0
4,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-21.3179,-48.9579,1024.6998,30.3572,-49.2422,1010.2467,0.0198,0.1749,6.3712,-19.8883,1237313,1.0926,1557,2.8597,0,0
4,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-21.4062,-48.7678,1023049,30.2498,-49.0731,1008.58,21,0.1682,6.2571,-19.6824,1237.0089,0.9797,1.5567,2.74,0,0
4,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-21.4861,-49.0914,1023.3944,30.1507,-49391,1009.2656,0.0208,0.1684,6.1801,-20.0796,1237.4904,0.9831,1.5564,2.7427,0,0
